date,stock_id,trade_volume,trade_value,transaction_count,source_url,source_month
2026-04-22,2317,140959574,31012934973,108092,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260401&stockNo=2317&response=csv,2026-04
2026-04-23,2317,172706743,38982831793,167373,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260401&stockNo=2317&response=csv,2026-04
2026-04-24,2317,77230253,17199443102,77948,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260401&stockNo=2317&response=csv,2026-04
2026-04-27,2317,109457408,24667901587,85234,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260401&stockNo=2317&response=csv,2026-04
2026-04-28,2317,104089860,23862867181,87891,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260401&stockNo=2317&response=csv,2026-04
2026-04-29,2317,43603455,9772948119,35320,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260401&stockNo=2317&response=csv,2026-04
2026-04-30,2317,73683654,16520785864,79651,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260401&stockNo=2317&response=csv,2026-04
2026-05-04,2317,57506042,13028901060,48021,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260501&stockNo=2317&response=csv,2026-05
2026-05-05,2317,162873566,38242818193,129745,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260501&stockNo=2317&response=csv,2026-05
2026-05-06,2317,240330399,59900737351,167309,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260501&stockNo=2317&response=csv,2026-05
2026-05-07,2317,128767846,32675028299,99338,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260501&stockNo=2317&response=csv,2026-05
2026-05-08,2317,102375417,25681314188,90563,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260501&stockNo=2317&response=csv,2026-05
2026-05-11,2317,63063740,15967564839,53855,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260501&stockNo=2317&response=csv,2026-05
2026-05-12,2317,84325367,21054986313,64483,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260501&stockNo=2317&response=csv,2026-05
2026-05-13,2317,72415109,17904870346,54330,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260501&stockNo=2317&response=csv,2026-05
2026-05-14,2317,73360409,18260193256,98873,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260501&stockNo=2317&response=csv,2026-05
2026-05-15,2317,138413483,35053027233,106675,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260501&stockNo=2317&response=csv,2026-05
2026-05-18,2317,63512356,15672562637,55720,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260501&stockNo=2317&response=csv,2026-05
2026-05-19,2317,70223341,17474685394,52910,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260501&stockNo=2317&response=csv,2026-05
2026-05-20,2317,62650287,15132372673,72312,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260501&stockNo=2317&response=csv,2026-05
